id;vehicles_per_day;strassen_laenge;Unfaelle_todesfolge;Unfaelle_schwer;Unfaelle_leicht;real_labels_print;cnn_prediction;x_coord_print;y_coord_print
76;192;0.7000000000000001;0;0;0;0;0;2589760.0;1185010.0
77;342;Jan 21;0;0;0;0;0;2634480.0;1253040.0
78;642;0.655;0;0;0;0;2;2731500.0;1200490.0
79;501;0.88;0;0;0;0;2;2681440.0;1229300.0
80;2617;Jan 16;0;1;8;2;0;2597680.0;1204150.0
81;1441;4.405;1;9;53;1;1;2696590.0;1245590.0
82;2651;0.755;0;0;4;2;3;2648620.0;1136030.0
83;2823;3.045;0;7;28;1;1;2737660.0;1253590.0
84;1029;Jan 31;0;0;1;2;2;2607130.0;1221560.0
85;365;Jan 47;0;0;1;3;3;2751660.0;1174510.0
86;530;Jan 22;0;0;2;3;3;2511880.0;1146070.0
87;656;1.025;0;0;2;3;0;2579840.0;1133550.0
88;1819;0.73;0;1;2;2;3;2732390.0;1242810.0
89;17108;Feb 25;0;1;6;0;0;2677000.0;1244930.0
90;1731;0.665;0;0;1;2;0;2634660.0;1259040.0
91;542;0.73;0;0;0;0;3;2628620.0;1225490.0
92;13534;2.575;0;4;7;0;0;2639230.0;1266040.0
93;257;01. Mär;0;1;0;3;3;2691920.0;1226650.0
94;452;Jan 37;0;0;3;3;3;2565780.0;1174300.0
95;404;0.78;0;0;0;0;3;2662140.0;1226420.0
96;1496;2.415;0;1;5;1;2;2651510.0;1239330.0
97;608;1.3900000000000001;0;0;5;3;2;2706900.0;1234710.0
98;1813;0.685;0;0;0;0;0;2666480.0;1262920.0
99;772;0.89;0;0;1;3;3;2640370.0;1239570.0
100;818;0.665;0;0;1;3;3;2577720.0;1180510.0
101;100;0.64;0;0;0;0;0;2557750.0;1188470.0
102;3709;1.355;0;3;16;1;1;2634520.0;1239830.0
103;10566;Jan 57;0;0;3;1;0;2677880.0;1202350.0
104;101;0.71;0;2;5;4;0;2718030.0;1130200.0
105;1024;01. Jun;0;2;2;2;1;2752560.0;1259990.0
106;1801;02. Apr;1;5;24;1;2;2560040.0;1141980.0
107;471;0.64;0;0;1;3;0;2735070.0;1255650.0
108;7649;3.435;0;2;5;1;1;2615790.0;1171740.0
109;1199;0.655;0;1;2;3;2;2586940.0;1143830.0
110;2018;1.415;0;1;0;2;2;2622470.0;1204060.0
111;1217;0.8150000000000001;0;0;2;2;1;2581750.0;1202220.0
112;379;1.115;0;0;0;0;0;2651000.0;1265480.0
113;663;1.395;0;2;1;3;2;2543630.0;1168590.0
114;6699;Jan 53;0;7;9;1;1;2714180.0;1098480.0
115;402;0.92;0;0;2;3;0;2506060.0;1143100.0
116;681;02. Jun;0;3;5;2;2;2553520.0;1173220.0
117;3683;2.045;0;7;7;1;1;2709570.0;1092330.0
118;2042;0.7000000000000001;1;2;1;3;2;2573550.0;1239090.0
119;2382;1.205;0;3;17;2;2;2609570.0;1216950.0
120;754;0.715;0;0;0;0;0;2722070.0;1277910.0
121;228;01. Apr;0;1;1;3;2;2743620.0;1219200.0
122;746;1.085;0;2;0;3;0;2738240.0;1228420.0
123;106;0.78;0;0;0;0;0;2721940.0;1268320.0
124;7750;0.775;0;1;6;1;1;2623790.0;1128730.0
125;10124;0.6;0;0;0;0;0;2684880.0;1199400.0
126;8712;4.105;2;5;41;0;0;2612010.0;1177100.0
127;12001;6.0;2;14;56;0;0;2534270.0;1153130.0
128;245;01. Jan;0;0;0;0;0;2567870.0;1197580.0
129;2706;4.695;2;14;85;1;1;2678570.0;1249470.0
130;641;1.475;0;0;1;2;2;2557780.0;1152000.0
131;19538;1.8800000000000001;1;2;9;0;0;2612100.0;1261280.0
132;1430;Jan 85;0;0;15;2;1;2507640.0;1138730.0
133;870;01. Feb;1;2;1;3;3;2767390.0;1189790.0
134;1230;Feb 27;0;1;9;2;1;2554290.0;1218590.0
135;16259;3.115;0;5;10;0;0;2718750.0;1083860.0
136;885;1.035;0;1;3;3;2;2579940.0;1194130.0
137;5347;02. Sep;0;3;7;1;1;2674910.0;1203390.0
138;5949;Jan 83;0;0;1;1;0;2588420.0;1193330.0
139;256;01. Nov;0;0;2;3;2;2534660.0;1171900.0
140;7211;0.6900000000000001;0;0;7;1;1;2645550.0;1267540.0
141;1113;0.795;0;0;1;3;3;2563910.0;1226530.0
142;2513;2.2800000000000002;0;2;6;1;1;2575070.0;1183100.0
143;812;0.75;0;1;1;3;0;2758650.0;1242750.0
144;2451;0.8;0;0;2;2;0;2703020.0;1255970.0
145;549;0.8;0;0;1;3;3;2693330.0;1290880.0
146;188;0.655;0;0;0;0;0;2703880.0;1275210.0
147;11422;2.465;1;2;23;1;0;2705100.0;1234330.0
148;4556;0.73;0;0;1;1;1;2694300.0;1219720.0
149;2364;Jan 67;0;2;2;2;2;2538250.0;1159450.0
150;11225;Mär 33;0;0;6;0;0;2499400.0;1122970.0
151;1175;1.365;0;1;0;3;2;2670840.0;1267420.0
152;539;0.6900000000000001;0;0;0;0;3;2703100.0;1262920.0
153;742;Jan 35;0;0;0;0;2;2642420.0;1256200.0
154;868;0.76;0;2;5;3;3;2573420.0;1232370.0
155;684;Feb 66;0;1;3;2;2;2547280.0;1173000.0
156;222;01. Mär;0;0;0;0;3;2710190.0;1252940.0
157;89;0.875;0;0;1;4;3;2628820.0;1202580.0
158;1923;1.035;0;4;4;2;2;2722520.0;1266330.0
159;235;0.8250000000000001;0;0;2;3;2;2743240.0;1219550.0
160;3471;Mär 75;0;9;9;1;1;2493960.0;1115150.0
161;2814;1.295;1;3;3;2;1;2694910.0;1226620.0
162;276;0.785;0;0;0;0;4;2756750.0;1257120.0
163;3269;01. Jan;1;0;11;2;1;2740760.0;1267700.0
164;1770;0.8250000000000001;0;0;1;2;3;2776270.0;1167320.0
165;1356;1.355;0;1;8;2;2;2550830.0;1147240.0
166;6375;0.9450000000000001;1;3;10;1;3;2687370.0;1249930.0
167;539;02. Jan;0;0;2;2;2;2609020.0;1264320.0
168;646;1.195;0;2;3;3;1;2593880.0;1225410.0
169;2743;3.3850000000000002;0;13;64;1;1;2577190.0;1183390.0
170;1875;Jan 76;0;1;3;2;1;2699850.0;1254240.0
171;3326;2.145;0;4;21;1;1;2697030.0;1246220.0
172;327;0.68;0;0;0;0;3;2528270.0;1173950.0
173;338;1.605;0;2;1;3;2;2668630.0;1247070.0
174;181;Jan 51;0;0;3;3;2;2762100.0;1257490.0
175;146;0.685;0;0;1;4;0;2597090.0;1208180.0
176;546;0.645;0;0;0;0;0;2645430.0;1232710.0
177;13586;Feb 93;1;3;9;0;0;2638320.0;1234780.0
178;3148;02. Jun;0;7;25;1;1;2599880.0;1198840.0
179;1232;1.8800000000000001;0;0;6;2;2;2719260.0;1262180.0
180;428;1.105;0;0;1;3;2;2618250.0;1231480.0
181;638;0.86;0;0;1;3;0;2615560.0;1183270.0
182;2043;1.145;0;3;7;2;1;2662180.0;1230940.0
183;1875;3.115;0;8;15;1;1;2631190.0;1257510.0
184;1515;Feb 38;0;2;9;1;1;2661000.0;1244760.0
185;3318;0.8;0;0;3;2;2;2764880.0;1251370.0
186;336;0.98;0;0;0;0;3;2715140.0;1113410.0
187;207;0.88;0;0;1;3;2;2632810.0;1233190.0
188;287;0.6950000000000001;0;1;0;4;4;2555240.0;1175720.0
189;1291;1.315;0;1;6;2;1;2594740.0;1242830.0
190;460;02. Jan;0;4;6;3;1;2640800.0;1230330.0
191;949;Jan 95;0;3;2;2;2;2606150.0;1129670.0
192;13691;Feb 41;1;2;5;1;0;2569030.0;1110330.0
193;1277;1.6500000000000001;1;0;4;2;2;2709040.0;1232710.0
194;1103;Mär 23;0;11;46;1;1;2693140.0;1231710.0
195;1110;0.965;0;0;2;2;2;2666650.0;1262230.0
196;154;0.79;1;1;3;4;0;2724100.0;1218720.0
197;137;Jan 69;0;0;0;0;3;2598650.0;1207800.0
198;846;0.65;0;0;1;3;0;2597320.0;1115900.0
199;1510;1.025;0;0;8;2;2;2689400.0;1193270.0
200;15267;0.655;0;0;0;0;1;2728320.0;1221160.0
201;835;Jan 21;0;1;3;3;2;2672900.0;1258310.0
202;3863;0.89;0;2;5;2;2;2652390.0;1226320.0
203;10960;0.91;0;0;7;1;1;2608970.0;1213740.0
204;1426;1.095;0;2;3;2;2;2507520.0;1128060.0
205;2556;1.7850000000000001;0;1;4;1;1;2613110.0;1262280.0
206;3178;Jan 96;0;0;2;1;1;2753430.0;1171640.0
207;2142;1.9000000000000001;0;2;6;1;1;2688040.0;1221690.0
208;2155;1.6400000000000001;0;3;11;1;2;2605630.0;1261700.0
209;11258;1.2750000000000001;0;3;12;1;1;2541680.0;1153990.0
210;235;0.75;0;0;1;3;3;2606490.0;1175870.0
211;1894;0.705;0;0;0;0;2;2742440.0;1229660.0
212;1149;2.025;0;2;2;2;1;2598870.0;1202870.0
213;3060;1.795;0;1;14;1;1;2560470.0;1184590.0
214;285;0.925;0;0;0;0;2;2634920.0;1268560.0
215;1168;0.7000000000000001;0;0;0;0;0;2568530.0;1186840.0
216;3932;0.9;0;0;5;1;2;2581200.0;1187750.0
217;1479;2.015;1;4;12;2;2;2705950.0;1232770.0
218;1948;Jan 44;0;2;3;2;1;2531830.0;1153880.0
219;1933;02. Sep;0;4;20;1;1;2700320.0;1257150.0
220;10075;2.6550000000000002;1;4;18;1;1;2558930.0;1206800.0
221;207;0.665;0;1;1;4;3;2611600.0;1115930.0
222;3249;1.8900000000000001;0;10;16;1;1;2529920.0;1162320.0
223;347;0.755;0;0;2;3;0;2681190.0;1161730.0
224;4312;0.75;0;0;0;0;0;2640670.0;1173870.0
225;914;Jan 77;0;0;0;0;2;2720090.0;1260890.0
226;1153;2.5500000000000003;0;1;4;2;2;2714290.0;1099500.0
227;8858;Mai 41;1;4;33;0;1;2569650.0;1165140.0
228;128;0.8250000000000001;0;0;0;0;0;2690580.0;1263180.0
229;540;0.89;0;0;0;0;0;2759940.0;1172930.0
230;203;0.925;0;0;0;0;0;2717380.0;1266770.0
231;1195;0.785;0;0;0;0;0;2738030.0;1266800.0
232;4328;1.065;0;1;2;1;1;2749640.0;1262610.0
233;3016;0.74;1;0;1;2;0;2694790.0;1126400.0
234;14993;4.425;0;4;41;0;0;2600210.0;1202520.0
235;1147;Jan 47;0;1;3;2;2;2598830.0;1185300.0
236;17972;1.695;0;3;5;1;1;2616310.0;1265560.0
237;4982;Jan 35;0;4;16;1;1;2676620.0;1216570.0
238;174;0.795;0;0;1;3;0;2553300.0;1201660.0
239;491;0.68;0;0;0;0;2;2722220.0;1270710.0
240;888;1.055;0;0;3;3;3;2725750.0;1273690.0
241;185;0.8150000000000001;0;1;0;4;0;2559910.0;1128370.0
242;11207;4.985;0;1;30;0;0;2609950.0;1214900.0
243;4858;03. Mai;1;4;13;1;0;2530480.0;1177720.0
244;415;02. Dez;0;0;0;0;2;2649650.0;1254820.0
245;1008;0.905;1;0;1;3;2;2723000.0;1274230.0
246;3746;01. Mär;0;0;4;1;2;2525380.0;1151210.0
247;1786;Feb 43;1;2;12;1;1;2577910.0;1181480.0
248;96;0.805;0;0;0;0;0;2677550.0;1268560.0
249;233;0.735;0;0;0;0;0;2575800.0;1260180.0
250;1907;Jan 42;0;0;1;2;2;2720630.0;1253080.0
251;1738;01. Mai;0;2;7;2;2;2565630.0;1189530.0
252;7732;0.66;0;2;6;1;2;2729430.0;1268150.0
253;2803;1.745;0;2;3;1;1;2696420.0;1252770.0
254;1052;0.6900000000000001;0;0;0;0;0;2649600.0;1262750.0
255;685;3.495;3;5;14;2;2;2528290.0;1186460.0
256;886;0.8250000000000001;0;0;0;0;3;2546220.0;1172150.0
257;324;0.785;0;0;0;0;0;2751020.0;1174400.0
258;401;0.895;0;0;1;3;3;2657020.0;1235930.0
259;1076;1.6600000000000001;0;1;6;2;2;2692670.0;1244040.0
260;4200;0.7000000000000001;0;0;1;1;3;2599110.0;1210510.0
261;2643;1.7650000000000001;0;1;10;1;2;2598170.0;1227730.0
262;634;0.845;0;0;0;0;0;2594950.0;1202740.0
263;190;0.775;0;1;2;3;0;2570320.0;1127070.0
264;3157;1.385;0;1;6;1;2;2625580.0;1240970.0
265;14722;0.9400000000000001;0;3;21;1;2;2711560.0;1113610.0
266;333;0.6950000000000001;0;0;0;0;2;2628140.0;1263660.0
267;1766;Feb 19;0;1;10;1;2;2610250.0;1168370.0
268;600;1.095;0;2;4;3;1;2646980.0;1254310.0
269;104;0.795;0;0;0;0;0;2718250.0;1236470.0
270;586;0.805;0;1;1;3;3;2729650.0;1247520.0
271;14324;Jan 58;0;2;3;1;0;2567030.0;1163780.0
272;1015;0.68;0;0;0;0;0;2643970.0;1163810.0
273;1494;2.975;1;8;35;1;1;2685790.0;1251230.0
274;378;Jan 74;0;2;3;3;3;2755980.0;1251230.0
275;706;0.77;0;0;1;3;0;2555120.0;1208230.0
276;846;1.195;0;0;2;2;3;2590700.0;1203630.0
277;1753;2.1550000000000002;1;4;16;1;1;2500090.0;1113510.0
278;1055;1.875;0;3;4;2;1;2599100.0;1203020.0
279;1535;0.755;1;0;6;3;3;2611860.0;1154260.0
280;13906;Feb 18;0;2;5;1;1;2686610.0;1234510.0
281;3603;0.76;0;0;4;2;2;2648310.0;1208940.0
282;7698;01. Aug;0;2;19;1;1;2661590.0;1216360.0
283;3409;Jan 26;0;5;14;1;2;2675550.0;1227610.0
284;158;2.415;0;1;0;3;0;2566130.0;1115000.0
285;1738;1.1400000000000001;0;2;9;2;1;2667260.0;1210240.0
286;2228;1.475;0;0;4;1;1;2670860.0;1191720.0
287;117;0.8;0;0;0;0;3;2565050.0;1167860.0
288;1171;03. Feb;0;17;45;1;1;2538400.0;1182100.0
289;1724;1.705;0;0;4;1;3;2586140.0;1149500.0
290;4186;1.0050000000000001;0;0;9;1;1;2688400.0;1249450.0
291;3961;0.66;0;0;1;2;2;2741700.0;1156840.0
292;1776;1.065;0;1;1;2;2;2633280.0;1246720.0
293;3439;0.905;0;0;0;0;1;2557690.0;1148690.0
294;714;1.165;0;1;1;3;0;2560950.0;1209400.0
295;423;Jan 54;0;0;0;0;0;2760180.0;1174030.0
296;2349;Jan 86;0;2;9;1;1;2575370.0;1197180.0
297;2478;Mär 22;0;4;5;1;1;2680230.0;1252000.0
298;6495;2.165;2;2;21;1;1;2749100.0;1262890.0
299;9896;2.0300000000000002;0;2;2;1;0;2537210.0;1182010.0
300;721;01. Mär;1;0;1;3;3;2500000.0;1125500.0
301;649;Jan 21;0;0;2;3;2;2657010.0;1273110.0
302;1534;1.355;0;1;16;2;1;2683120.0;1262340.0
303;24820;3.015;0;2;34;0;0;2620770.0;1264430.0
304;13243;2.065;0;2;4;1;0;2572800.0;1176750.0
305;2351;0.725;0;0;0;0;2;2666890.0;1235980.0
306;141;0.735;0;1;1;4;0;2569180.0;1199410.0
307;681;1.295;0;5;11;3;1;2530720.0;1171870.0
308;415;0.65;0;1;0;3;0;2625710.0;1219360.0
309;2802;03. Jul;2;19;52;1;1;2498850.0;1119570.0
310;6215;1.295;0;0;1;1;0;2728170.0;1121740.0
311;761;0.97;0;1;0;3;0;2675260.0;1242960.0
312;290;0.75;0;0;0;0;3;2551750.0;1178560.0
313;347;0.895;0;0;0;0;3;2602370.0;1244430.0
314;1789;0.8150000000000001;0;0;3;2;2;2748160.0;1215520.0
315;152;0.685;0;0;0;0;0;2623280.0;1244640.0
316;4894;0.74;0;1;5;1;2;2608020.0;1225560.0
317;922;2.535;2;3;18;2;1;2577980.0;1110330.0
318;1735;0.8150000000000001;0;2;1;3;2;2562550.0;1185100.0
319;2156;0.9;0;3;3;2;3;2564040.0;1130080.0
320;1929;0.745;1;4;2;3;2;2676000.0;1220950.0
321;2108;0.73;0;3;2;2;2;2584150.0;1199540.0
322;4777;1.285;0;0;5;1;1;2555710.0;1148490.0
323;600;0.805;0;1;0;3;3;2648620.0;1254560.0
324;1604;02. Apr;0;5;19;2;1;2729450.0;1278530.0
325;10765;Feb 14;0;1;2;1;1;2704560.0;1267870.0
326;2368;Feb 31;0;1;5;1;1;2723750.0;1078550.0
327;1476;0.68;0;0;2;2;3;2595190.0;1238510.0
328;1246;0.79;0;1;0;3;0;2576120.0;1175400.0
329;2590;1.465;0;1;12;1;1;2655920.0;1259670.0
330;203;0.905;0;0;0;0;3;2635330.0;1253620.0
331;806;Jan 36;0;0;2;2;3;2604510.0;1204030.0
332;719;1.135;0;1;2;3;2;2605990.0;1259650.0
333;883;1.295;0;2;5;3;2;2578180.0;1174530.0
334;11738;Mär 47;0;7;30;0;0;2672400.0;1220020.0
335;1729;0.675;0;0;0;0;3;2616750.0;1270950.0
336;211;0.5;0;0;0;0;0;2828190.0;1195580.0
337;437;1.065;0;0;0;0;3;2541350.0;1187980.0
338;4160;1.7650000000000001;0;4;19;1;1;2661310.0;1215200.0
339;887;Jan 16;0;0;0;0;0;2594380.0;1209600.0
340;146;0.8250000000000001;0;0;0;0;0;2592310.0;1207160.0
341;156;0.93;0;0;0;0;0;2569060.0;1150000.0
342;8499;Feb 16;0;0;3;1;1;2707090.0;1144580.0
343;161;0.64;0;0;1;4;0;2584220.0;1239340.0
344;1466;01. Aug;0;0;2;2;3;2519560.0;1151100.0
345;344;0.68;0;0;0;0;0;2651900.0;1218790.0
346;447;0.6900000000000001;0;0;0;0;0;2557590.0;1158270.0
347;5592;Jan 55;0;3;18;1;1;2646820.0;1250320.0
348;179;0.9;0;0;0;0;3;2576310.0;1176830.0
349;515;0.905;0;1;1;3;0;2664330.0;1246360.0
350;583;0.785;0;0;3;3;1;2692800.0;1288810.0
351;4578;2.8000000000000003;0;8;35;1;1;2538900.0;1154800.0
352;352;0.81;0;0;0;0;3;2693790.0;1117770.0
353;361;0.895;0;0;0;0;3;2737570.0;1185500.0
354;3443;0.6900000000000001;0;1;1;2;3;2663970.0;1267670.0
355;1587;1.405;0;0;5;2;2;2612070.0;1224810.0
356;134;1.605;0;0;0;0;3;2546290.0;1165900.0
357;10229;1.725;1;1;3;1;1;2755910.0;1190270.0
358;409;0.865;0;0;3;3;3;2600260.0;1112030.0
359;1875;2.735;0;9;45;1;1;2730790.0;1278730.0
360;2909;0.865;0;1;6;2;2;2609470.0;1231600.0
361;2588;0.655;0;0;8;2;2;2572460.0;1161450.0
362;711;0.9450000000000001;1;0;1;3;2;2560460.0;1158390.0
363;474;1.665;0;1;0;3;1;2599930.0;1145870.0
364;128;0.755;0;0;1;4;0;2575920.0;1181120.0
365;1888;2.215;0;0;3;1;1;2643710.0;1131230.0
366;1195;0.715;0;0;2;3;0;2577440.0;1210800.0
367;135;0.675;0;0;2;4;3;2590980.0;1243520.0
368;6657;1.675;1;2;24;1;1;2612280.0;1257100.0
369;2141;1.615;2;4;11;2;1;2682300.0;1238430.0
370;4402;4.925;0;21;78;1;1;2645820.0;1249410.0
371;2105;0.74;0;1;5;2;1;2753210.0;1228000.0
372;1590;1.5050000000000001;0;0;5;2;1;2747520.0;1244500.0
373;1711;1.6500000000000001;0;0;3;2;1;2560230.0;1130080.0
374;1556;Jan 86;0;2;6;2;1;2623250.0;1250010.0
375;675;0.675;0;0;0;0;3;2526390.0;1168080.0
376;622;0.745;0;0;0;0;0;2575610.0;1178650.0
377;927;0.775;0;0;0;0;3;2637540.0;1264580.0
378;2106;1.0;0;0;10;2;2;2751390.0;1230680.0
379;4151;3.1950000000000003;0;1;7;1;1;2701040.0;1149960.0
380;1323;Feb 81;0;1;8;1;1;2612900.0;1260600.0
381;2261;Feb 66;0;1;13;1;1;2687840.0;1238960.0
382;3048;2.5300000000000002;0;1;5;1;1;2594070.0;1235600.0
383;1109;0.64;0;1;7;3;2;2721760.0;1227800.0
384;1727;2.305;1;5;21;1;1;2594300.0;1226180.0
385;2502;Jan 49;0;1;9;1;2;2671140.0;1211650.0
386;2882;02. Feb;0;5;9;1;1;2714860.0;1093060.0
387;879;0.74;0;0;3;3;3;2555730.0;1183850.0
388;1405;0.675;0;0;2;2;3;2598720.0;1253150.0
389;826;1.885;0;1;9;2;1;2592340.0;1245300.0
390;142;0.705;0;0;0;0;0;2596160.0;1125170.0
391;3763;0.75;0;0;0;0;2;2640320.0;1225880.0
392;1612;1.735;0;2;4;2;2;2658440.0;1273640.0
393;710;1.745;0;3;2;3;3;2555950.0;1158920.0
394;1347;1.895;0;3;7;2;2;2651800.0;1238880.0
395;37474;2.505;1;7;44;0;0;2673630.0;1252460.0
396;2205;2.355;0;5;14;1;1;2686200.0;1242150.0
397;1275;1.2750000000000001;0;3;5;2;2;2553090.0;1156440.0
398;480;0.84;0;2;0;3;3;2669450.0;1154400.0
399;2295;Jan 47;0;3;6;2;2;2647530.0;1248210.0
400;1408;01. Mai;0;1;2;2;2;2625980.0;1194050.0
401;8687;02. Jul;1;0;12;1;0;2693300.0;1270910.0
402;862;0.995;0;1;2;3;3;2720140.0;1251800.0
403;556;0.8150000000000001;0;0;0;0;2;2536210.0;1171700.0
404;3328;1.795;0;2;28;1;1;2681410.0;1270330.0
405;361;Jan 43;0;0;3;3;2;2544270.0;1166890.0
406;2663;Mär 17;0;10;45;1;1;2689320.0;1251040.0
407;301;0.75;0;0;1;3;0;2522490.0;1164510.0
408;1025;0.87;0;1;3;3;2;2707190.0;1173440.0
409;1581;0.89;0;0;2;2;0;2584670.0;1222800.0
410;212;1.0050000000000001;0;0;1;3;0;2615760.0;1260760.0
411;8187;Jan 52;0;1;10;1;1;2622440.0;1257020.0
412;693;1.815;1;0;2;3;2;2715080.0;1277280.0
413;16329;Feb 19;0;2;5;0;0;2562190.0;1128500.0
414;137;0.56;0;1;0;4;0;2583460.0;1101710.0
415;19601;02. Jun;0;3;6;0;1;2714040.0;1095910.0
416;3463;0.705;0;0;1;2;1;2589510.0;1200450.0
417;291;1.555;0;0;1;3;3;2602770.0;1212960.0
418;1228;0.7000000000000001;1;3;3;3;3;2677330.0;1208960.0
419;232;0.685;0;0;1;3;0;2676010.0;1230970.0
420;523;0.79;0;0;0;0;0;2758370.0;1206080.0
421;1020;1.915;0;1;7;2;2;2591340.0;1217040.0
422;588;0.76;0;0;0;0;0;2599680.0;1114400.0
423;560;Jan 67;0;0;3;3;2;2648620.0;1259170.0
424;3058;1.355;0;2;2;2;0;2572510.0;1172970.0
425;6557;Jan 37;0;2;1;1;1;2572790.0;1103660.0
426;477;Jan 19;0;0;2;3;3;2560350.0;1208590.0
427;1914;3.775;0;2;19;1;1;2658640.0;1259070.0
428;824;0.655;0;0;0;0;0;2571480.0;1173570.0
429;107;0.665;0;0;0;0;0;2732210.0;1269890.0
430;108;1.195;0;0;3;3;3;2726800.0;1182530.0
431;3118;0.7000000000000001;1;3;7;2;2;2718710.0;1138870.0
432;2019;1.345;0;0;7;2;2;2656600.0;1218830.0
433;397;0.655;0;0;0;0;0;2604820.0;1105420.0
